Student ID,Interests,Career Goals,Matched Courses
1297,computational theory,Systems Analyst,"Computer Science, Information Systems"
1298,embedded systems design,Control Systems Engineer,Electrical Engineering
1299,continuous integration and deployment,Systems Architect,Software Engineering
1300,agile and traditional project methodologies,Program Manager,Project Management
1301,Electronic health records,Clinical Informatics Specialist,Health Information Technology
1302,Electronic health records,Clinical Informatics Specialist,Health Information Technology
1303,big data technologies,Business Intelligence Analyst,Data Science
1304,fluid mechanics,Robotics Engineer,Mechanical Engineering
1305,continuous integration and deployment,Software Developer,"Software Engineering, Computer Science"
1306,stakeholder engagement,Project Manager,Project Management
1307,Electronic health records,Health IT Project Manager,Health Information Technology
1308,Project lifecycle management,Program Manager,Project Management
1309,computational theory,Software Developer,"Computer Science, Software Engineering"
1310,Project lifecycle management,Program Manager,Project Management
1311,computational theory,Research Scientist,Computer Science
1312,automation technology,Mechanical Design Engineer,Mechanical Engineering
1313,compliance and policy,Chief Information Security Officer,Cybersecurity
1314,advanced programming,Systems Analyst,"Computer Science, Information Systems"
1315,automation technology,Robotics Engineer,Mechanical Engineering
1316,cloud services,Systems Architect,Software Engineering
1317,advanced programming,Research Scientist,Computer Science
1318,Predictive analytics,Business Intelligence Analyst,Data Science
1319,compliance and policy,Chief Information Security Officer,Cybersecurity
1320,agile and traditional project methodologies,Project Manager,Project Management
1321,Mechanical systems design,HVAC Engineer,Mechanical Engineering
1322,Full-stack development,Systems Architect,Software Engineering
1323,data privacy,Clinical Informatics Specialist,Health Information Technology
1324,health informatics,Clinical Informatics Specialist,Health Information Technology
1325,network security,Database Administrator,Information Systems
1326,artificial intelligence,Systems Analyst,"Computer Science, Information Systems"
1327,enterprise resource planning,Systems Analyst,"Information Systems, Computer Science"
1328,Intrusion detection,Chief Information Security Officer,Cybersecurity
1329,health informatics,Health Data Analyst,Health Information Technology
1330,quality assurance,Technical Director,Engineering Management
1331,Algorithm optimization,Software Developer,"Computer Science, Software Engineering"
1332,software design patterns,Systems Architect,Software Engineering
1333,Mechanical systems design,HVAC Engineer,Mechanical Engineering
1334,embedded systems design,Communications Engineer,Electrical Engineering
1335,healthcare applications development,Health IT Project Manager,Health Information Technology
1336,compliance and policy,Network Security Engineer,Cybersecurity
1337,secure software development,Chief Information Security Officer,Cybersecurity
1338,network security,Systems Analyst,"Information Systems, Computer Science"
1339,strategic planning,Operations Manager,"Engineering Management, Project Management"
1340,Process optimization,Operations Manager,"Engineering Management, Project Management"
1341,Electronic health records,Clinical Informatics Specialist,Health Information Technology
1342,Full-stack development,DevOps Engineer,Software Engineering
1343,digital forensics,Chief Information Security Officer,Cybersecurity
1344,deep learning,Business Intelligence Analyst,Data Science
1345,quality assurance,Technical Director,Engineering Management
1346,Intrusion detection,Network Security Engineer,Cybersecurity
1347,computational theory,Research Scientist,Computer Science
1348,health informatics,Clinical Informatics Specialist,Health Information Technology
1349,Predictive analytics,Machine Learning Engineer,Data Science
1350,data privacy,Health Data Analyst,Health Information Technology
1351,deep learning,Machine Learning Engineer,Data Science
1352,leadership in technology projects,Operations Manager,"Engineering Management, Project Management"
1353,quality assurance,Engineering Project Manager,Engineering Management
1354,power systems,Control Systems Engineer,Electrical Engineering
1355,agile and traditional project methodologies,Operations Manager,"Engineering Management, Project Management"
1356,computational theory,Software Developer,"Computer Science, Software Engineering"
1357,enterprise resource planning,IT Consultant,Information Systems
1358,healthcare applications development,Health Data Analyst,Health Information Technology
1359,Microelectronics,Electrical Design Engineer,Electrical Engineering
1360,data privacy,Health IT Project Manager,Health Information Technology
1361,leadership in technology projects,Technical Director,Engineering Management
1362,embedded systems design,Electrical Design Engineer,Electrical Engineering
1363,digital forensics,Network Security Engineer,Cybersecurity
1364,computational theory,Software Developer,"Computer Science, Software Engineering"
1365,big data technologies,Machine Learning Engineer,Data Science
1366,quality assurance,Engineering Project Manager,Engineering Management
1367,signal processing,Communications Engineer,Electrical Engineering
1368,Predictive analytics,Machine Learning Engineer,Data Science
1369,cost control,Operations Manager,"Engineering Management, Project Management"
1370,embedded systems design,Electrical Design Engineer,Electrical Engineering
1371,stakeholder engagement,Operations Manager,"Engineering Management, Project Management"
1372,data privacy,Health IT Project Manager,Health Information Technology
1373,cost control,Project Manager,Project Management
1374,leadership in technology projects,Operations Manager,"Engineering Management, Project Management"
1375,enterprise resource planning,Database Administrator,Information Systems
1376,Process optimization,Engineering Project Manager,Engineering Management
1377,big data technologies,Machine Learning Engineer,Data Science
1378,software design patterns,DevOps Engineer,Software Engineering
1379,Process optimization,Operations Manager,"Engineering Management, Project Management"
1380,advanced programming,Systems Analyst,"Computer Science, Information Systems"
1381,Mechanical systems design,Robotics Engineer,Mechanical Engineering
1382,cloud services,Software Developer,"Software Engineering, Computer Science"
1383,agile and traditional project methodologies,Operations Manager,"Engineering Management, Project Management"
1384,computational theory,Software Developer,"Computer Science, Software Engineering"
1385,Intrusion detection,Network Security Engineer,Cybersecurity
1386,secure software development,Chief Information Security Officer,Cybersecurity
1387,deep learning,Data Scientist,Data Science
1388,Process optimization,Operations Manager,"Engineering Management, Project Management"
1389,software design patterns,DevOps Engineer,Software Engineering
1390,enterprise resource planning,Systems Analyst,"Information Systems, Computer Science"
1391,System integration,IT Consultant,Information Systems
1392,cloud services,DevOps Engineer,Software Engineering
1393,compliance and policy,Chief Information Security Officer,Cybersecurity
1394,cost control,Program Manager,Project Management
1395,cost control,Program Manager,Project Management
1396,cloud services,Systems Architect,Software Engineering
1397,secure software development,Network Security Engineer,Cybersecurity
1398,data warehousing,Systems Analyst,"Information Systems, Computer Science"
1399,cost control,Program Manager,Project Management
1400,cloud services,DevOps Engineer,Software Engineering
1401,System integration,Database Administrator,Information Systems
1402,software design patterns,Software Developer,"Software Engineering, Computer Science"
1403,Process optimization,Operations Manager,"Engineering Management, Project Management"
1404,Intrusion detection,Security Analyst,Cybersecurity
1405,Process optimization,Operations Manager,"Engineering Management, Project Management"
1406,Algorithm optimization,Software Developer,"Computer Science, Software Engineering"
1407,cost control,Project Manager,Project Management
1408,automation technology,Mechanical Design Engineer,Mechanical Engineering
1409,power systems,Communications Engineer,Electrical Engineering
1410,Microelectronics,Communications Engineer,Electrical Engineering
1411,strategic planning,Operations Manager,"Engineering Management, Project Management"
1412,big data technologies,Machine Learning Engineer,Data Science
1413,System integration,Database Administrator,Information Systems
1414,digital forensics,Chief Information Security Officer,Cybersecurity
1415,strategic planning,Technical Director,Engineering Management
1416,embedded systems design,Communications Engineer,Electrical Engineering
1417,big data technologies,Business Intelligence Analyst,Data Science
1418,big data technologies,Business Intelligence Analyst,Data Science
1419,Intrusion detection,Network Security Engineer,Cybersecurity
1420,Process optimization,Engineering Project Manager,Engineering Management
1421,Electronic health records,Clinical Informatics Specialist,Health Information Technology
1422,Intrusion detection,Security Analyst,Cybersecurity
1423,Electronic health records,Health IT Project Manager,Health Information Technology
1424,cost control,Operations Manager,"Engineering Management, Project Management"
1425,computational theory,Software Developer,"Computer Science, Software Engineering"
1426,statistical methods,Data Scientist,Data Science
1427,signal processing,Electrical Design Engineer,Electrical Engineering
1428,agile and traditional project methodologies,Project Manager,Project Management
1429,Microelectronics,Communications Engineer,Electrical Engineering
1430,agile and traditional project methodologies,Project Manager,Project Management
1431,deep learning,Data Scientist,Data Science
1432,continuous integration and deployment,Systems Architect,Software Engineering
1433,data privacy,Health Data Analyst,Health Information Technology
1434,strategic planning,Engineering Project Manager,Engineering Management
1435,Full-stack development,Systems Architect,Software Engineering
1436,data privacy,Clinical Informatics Specialist,Health Information Technology
1437,agile and traditional project methodologies,Program Manager,Project Management
1438,Microelectronics,Communications Engineer,Electrical Engineering
1439,software design patterns,Software Developer,"Software Engineering, Computer Science"
1440,strategic planning,Engineering Project Manager,Engineering Management
1441,fluid mechanics,Mechanical Design Engineer,Mechanical Engineering
1442,secure software development,Network Security Engineer,Cybersecurity
1443,Mechanical systems design,Robotics Engineer,Mechanical Engineering
1444,big data technologies,Business Intelligence Analyst,Data Science
1445,digital forensics,Security Analyst,Cybersecurity
1446,agile and traditional project methodologies,Operations Manager,"Engineering Management, Project Management"
1447,enterprise resource planning,Database Administrator,Information Systems
1448,cost control,Operations Manager,"Engineering Management, Project Management"
1449,stakeholder engagement,Program Manager,Project Management
1450,network security,Systems Analyst,"Information Systems, Computer Science"
1451,artificial intelligence,Software Developer,"Computer Science, Software Engineering"
1452,Microelectronics,Control Systems Engineer,Electrical Engineering
1453,signal processing,Communications Engineer,Electrical Engineering
1454,automation technology,Mechanical Design Engineer,Mechanical Engineering
1455,Electronic health records,Clinical Informatics Specialist,Health Information Technology
1456,Predictive analytics,Machine Learning Engineer,Data Science
1457,statistical methods,Machine Learning Engineer,Data Science
1458,Microelectronics,Communications Engineer,Electrical Engineering
1459,Algorithm optimization,Software Developer,"Computer Science, Software Engineering"
1460,software design patterns,DevOps Engineer,Software Engineering
1461,data privacy,Clinical Informatics Specialist,Health Information Technology
1462,artificial intelligence,Software Developer,"Computer Science, Software Engineering"
1463,quality assurance,Engineering Project Manager,Engineering Management
1464,statistical methods,Business Intelligence Analyst,Data Science
1465,leadership in technology projects,Engineering Project Manager,Engineering Management
1466,power systems,Electrical Design Engineer,Electrical Engineering
1467,quality assurance,Engineering Project Manager,Engineering Management
1468,stakeholder engagement,Operations Manager,"Engineering Management, Project Management"
1469,leadership in technology projects,Operations Manager,"Engineering Management, Project Management"
1470,software design patterns,DevOps Engineer,Software Engineering
1471,fluid mechanics,Mechanical Design Engineer,Mechanical Engineering
1472,big data technologies,Business Intelligence Analyst,Data Science
1473,Microelectronics,Control Systems Engineer,Electrical Engineering
1474,advanced material science,HVAC Engineer,Mechanical Engineering
1475,strategic planning,Operations Manager,"Engineering Management, Project Management"
1476,statistical methods,Data Scientist,Data Science
1477,strategic planning,Operations Manager,"Engineering Management, Project Management"
1478,continuous integration and deployment,Software Developer,"Software Engineering, Computer Science"
1479,Predictive analytics,Data Scientist,Data Science
1480,Mechanical systems design,HVAC Engineer,Mechanical Engineering
1481,Process optimization,Technical Director,Engineering Management
1482,enterprise resource planning,Database Administrator,Information Systems
1483,continuous integration and deployment,Software Developer,"Software Engineering, Computer Science"
1484,continuous integration and deployment,DevOps Engineer,Software Engineering
1485,computational theory,Software Developer,"Computer Science, Software Engineering"
1486,Algorithm optimization,Systems Analyst,"Computer Science, Information Systems"
1487,advanced material science,HVAC Engineer,Mechanical Engineering
1488,Predictive analytics,Business Intelligence Analyst,Data Science
1489,Microelectronics,Electrical Design Engineer,Electrical Engineering
1490,signal processing,Control Systems Engineer,Electrical Engineering
1491,big data technologies,Business Intelligence Analyst,Data Science
1492,agile and traditional project methodologies,Operations Manager,"Engineering Management, Project Management"
1493,Intrusion detection,Network Security Engineer,Cybersecurity
1494,automation technology,HVAC Engineer,Mechanical Engineering
1495,healthcare applications development,Clinical Informatics Specialist,Health Information Technology
1496,big data technologies,Data Scientist,Data Science
1497,agile and traditional project methodologies,Program Manager,Project Management
1498,artificial intelligence,Research Scientist,Computer Science
1499,Mechanical systems design,Mechanical Design Engineer,Mechanical Engineering
1500,fluid mechanics,HVAC Engineer,Mechanical Engineering
1501,data privacy,Health Data Analyst,Health Information Technology
1502,cloud services,DevOps Engineer,Software Engineering
1503,artificial intelligence,Research Scientist,Computer Science
1504,System integration,IT Consultant,Information Systems
1505,data privacy,Health Data Analyst,Health Information Technology
1506,Algorithm optimization,Software Developer,"Computer Science, Software Engineering"
1507,signal processing,Electrical Design Engineer,Electrical Engineering
1508,signal processing,Control Systems Engineer,Electrical Engineering
1509,Algorithm optimization,Systems Analyst,"Computer Science, Information Systems"
1510,stakeholder engagement,Project Manager,Project Management
1511,compliance and policy,Security Analyst,Cybersecurity
1512,network security,IT Consultant,Information Systems
1513,continuous integration and deployment,DevOps Engineer,Software Engineering
1514,Project lifecycle management,Program Manager,Project Management
1515,big data technologies,Data Scientist,Data Science
1516,artificial intelligence,Software Developer,"Computer Science, Software Engineering"
1517,Predictive analytics,Machine Learning Engineer,Data Science
1518,advanced material science,Mechanical Design Engineer,Mechanical Engineering
1519,healthcare applications development,Health IT Project Manager,Health Information Technology
1520,healthcare applications development,Health Data Analyst,Health Information Technology
1521,power systems,Control Systems Engineer,Electrical Engineering
1522,fluid mechanics,Mechanical Design Engineer,Mechanical Engineering
1523,Electronic health records,Health IT Project Manager,Health Information Technology
1524,Full-stack development,DevOps Engineer,Software Engineering
1525,digital forensics,Chief Information Security Officer,Cybersecurity
1526,advanced programming,Systems Analyst,"Computer Science, Information Systems"
1527,cost control,Operations Manager,"Engineering Management, Project Management"
1528,embedded systems design,Communications Engineer,Electrical Engineering
1529,health informatics,Health Data Analyst,Health Information Technology
1530,Full-stack development,DevOps Engineer,Software Engineering
1531,Microelectronics,Electrical Design Engineer,Electrical Engineering
1532,System integration,Systems Analyst,"Information Systems, Computer Science"
1533,digital forensics,Network Security Engineer,Cybersecurity
1534,signal processing,Control Systems Engineer,Electrical Engineering
1535,fluid mechanics,Mechanical Design Engineer,Mechanical Engineering
1536,secure software development,Network Security Engineer,Cybersecurity
1537,signal processing,Electrical Design Engineer,Electrical Engineering
1538,health informatics,Clinical Informatics Specialist,Health Information Technology
1539,strategic planning,Engineering Project Manager,Engineering Management
1540,System integration,Systems Analyst,"Information Systems, Computer Science"
1541,Electronic health records,Clinical Informatics Specialist,Health Information Technology
1542,Intrusion detection,Security Analyst,Cybersecurity
1543,Project lifecycle management,Operations Manager,"Engineering Management, Project Management"
1544,leadership in technology projects,Operations Manager,"Engineering Management, Project Management"
1545,computational theory,Research Scientist,Computer Science
1546,agile and traditional project methodologies,Project Manager,Project Management
1547,network security,Database Administrator,Information Systems
1548,advanced material science,HVAC Engineer,Mechanical Engineering
1549,enterprise resource planning,Systems Analyst,"Information Systems, Computer Science"
1550,data privacy,Health IT Project Manager,Health Information Technology
1551,Project lifecycle management,Program Manager,Project Management
1552,digital forensics,Network Security Engineer,Cybersecurity
1553,leadership in technology projects,Operations Manager,"Engineering Management, Project Management"
1554,deep learning,Business Intelligence Analyst,Data Science
1555,continuous integration and deployment,DevOps Engineer,Software Engineering
1556,healthcare applications development,Clinical Informatics Specialist,Health Information Technology
1557,advanced material science,HVAC Engineer,Mechanical Engineering
1558,continuous integration and deployment,DevOps Engineer,Software Engineering
1559,network security,Systems Analyst,"Information Systems, Computer Science"
1560,digital forensics,Network Security Engineer,Cybersecurity
1561,embedded systems design,Electrical Design Engineer,Electrical Engineering
1562,artificial intelligence,Software Developer,"Computer Science, Software Engineering"
1563,enterprise resource planning,Systems Analyst,"Information Systems, Computer Science"
1564,Predictive analytics,Business Intelligence Analyst,Data Science
1565,Full-stack development,Software Developer,"Software Engineering, Computer Science"
1566,Mechanical systems design,Robotics Engineer,Mechanical Engineering
1567,digital forensics,Security Analyst,Cybersecurity
1568,power systems,Electrical Design Engineer,Electrical Engineering
1569,Intrusion detection,Chief Information Security Officer,Cybersecurity
1570,computational theory,Research Scientist,Computer Science
1571,Project lifecycle management,Program Manager,Project Management
1572,computational theory,Research Scientist,Computer Science
1573,advanced material science,Robotics Engineer,Mechanical Engineering
1574,Intrusion detection,Chief Information Security Officer,Cybersecurity
1575,advanced material science,HVAC Engineer,Mechanical Engineering
1576,health informatics,Health IT Project Manager,Health Information Technology
1577,statistical methods,Data Scientist,Data Science
1578,signal processing,Electrical Design Engineer,Electrical Engineering
1579,cost control,Program Manager,Project Management
1580,strategic planning,Engineering Project Manager,Engineering Management
1581,Electronic health records,Clinical Informatics Specialist,Health Information Technology
1582,Microelectronics,Communications Engineer,Electrical Engineering
1583,healthcare applications development,Health IT Project Manager,Health Information Technology
1584,Electronic health records,Health IT Project Manager,Health Information Technology
1585,data warehousing,Systems Analyst,"Information Systems, Computer Science"
1586,strategic planning,Operations Manager,"Engineering Management, Project Management"
1587,embedded systems design,Communications Engineer,Electrical Engineering
1588,Project lifecycle management,Project Manager,Project Management
1589,Electronic health records,Health IT Project Manager,Health Information Technology
1590,signal processing,Electrical Design Engineer,Electrical Engineering
1591,Electronic health records,Clinical Informatics Specialist,Health Information Technology
1592,enterprise resource planning,IT Consultant,Information Systems
1593,Predictive analytics,Business Intelligence Analyst,Data Science
1594,software design patterns,Systems Architect,Software Engineering
1595,secure software development,Network Security Engineer,Cybersecurity
1596,data privacy,Health Data Analyst,Health Information Technology
1597,Project lifecycle management,Program Manager,Project Management
1598,stakeholder engagement,Program Manager,Project Management
1599,cloud services,DevOps Engineer,Software Engineering
1600,enterprise resource planning,Systems Analyst,"Information Systems, Computer Science"
1601,Microelectronics,Electrical Design Engineer,Electrical Engineering
1602,data privacy,Health Data Analyst,Health Information Technology
1603,Process optimization,Technical Director,Engineering Management
1604,big data technologies,Business Intelligence Analyst,Data Science
1605,power systems,Communications Engineer,Electrical Engineering
1606,health informatics,Health IT Project Manager,Health Information Technology
1607,network security,Systems Analyst,"Information Systems, Computer Science"
1608,Intrusion detection,Network Security Engineer,Cybersecurity
1609,artificial intelligence,Systems Analyst,"Computer Science, Information Systems"
1610,statistical methods,Machine Learning Engineer,Data Science
1611,artificial intelligence,Software Developer,"Computer Science, Software Engineering"
1612,data privacy,Health IT Project Manager,Health Information Technology
1613,advanced programming,Software Developer,"Computer Science, Software Engineering"
1614,compliance and policy,Network Security Engineer,Cybersecurity
1615,fluid mechanics,Robotics Engineer,Mechanical Engineering
1616,cloud services,Systems Architect,Software Engineering
1617,Microelectronics,Electrical Design Engineer,Electrical Engineering
1618,signal processing,Control Systems Engineer,Electrical Engineering
1619,signal processing,Electrical Design Engineer,Electrical Engineering
1620,digital forensics,Network Security Engineer,Cybersecurity
1621,data privacy,Clinical Informatics Specialist,Health Information Technology
1622,healthcare applications development,Health Data Analyst,Health Information Technology
1623,statistical methods,Machine Learning Engineer,Data Science
1624,advanced material science,HVAC Engineer,Mechanical Engineering
1625,Process optimization,Technical Director,Engineering Management
1626,computational theory,Systems Analyst,"Computer Science, Information Systems"
1627,network security,IT Consultant,Information Systems
1628,healthcare applications development,Clinical Informatics Specialist,Health Information Technology
1629,enterprise resource planning,Systems Analyst,"Information Systems, Computer Science"
1630,Process optimization,Operations Manager,"Engineering Management, Project Management"
1631,compliance and policy,Network Security Engineer,Cybersecurity
1632,data warehousing,Systems Analyst,"Information Systems, Computer Science"
1633,data warehousing,Systems Analyst,"Information Systems, Computer Science"
1634,statistical methods,Data Scientist,Data Science
1635,cloud services,DevOps Engineer,Software Engineering
1636,Process optimization,Engineering Project Manager,Engineering Management
1637,data warehousing,Systems Analyst,"Information Systems, Computer Science"
1638,data warehousing,Systems Analyst,"Information Systems, Computer Science"
1639,continuous integration and deployment,Software Developer,"Software Engineering, Computer Science"
1640,fluid mechanics,Mechanical Design Engineer,Mechanical Engineering
1641,Mechanical systems design,Robotics Engineer,Mechanical Engineering
1642,cost control,Operations Manager,"Engineering Management, Project Management"
1643,Microelectronics,Electrical Design Engineer,Electrical Engineering
1644,digital forensics,Security Analyst,Cybersecurity
1645,signal processing,Electrical Design Engineer,Electrical Engineering
1646,Predictive analytics,Data Scientist,Data Science
1647,cloud services,DevOps Engineer,Software Engineering
1648,network security,Database Administrator,Information Systems
1649,quality assurance,Technical Director,Engineering Management
1650,deep learning,Data Scientist,Data Science
1651,Predictive analytics,Data Scientist,Data Science
1652,System integration,IT Consultant,Information Systems
1653,signal processing,Electrical Design Engineer,Electrical Engineering
1654,Electronic health records,Clinical Informatics Specialist,Health Information Technology
1655,big data technologies,Machine Learning Engineer,Data Science
1656,digital forensics,Chief Information Security Officer,Cybersecurity
1657,compliance and policy,Network Security Engineer,Cybersecurity
1658,embedded systems design,Control Systems Engineer,Electrical Engineering
1659,secure software development,Security Analyst,Cybersecurity
1660,embedded systems design,Control Systems Engineer,Electrical Engineering
1661,digital forensics,Network Security Engineer,Cybersecurity
1662,cost control,Program Manager,Project Management
1663,agile and traditional project methodologies,Operations Manager,"Engineering Management, Project Management"
1664,Microelectronics,Control Systems Engineer,Electrical Engineering
1665,healthcare applications development,Clinical Informatics Specialist,Health Information Technology
1666,health informatics,Health Data Analyst,Health Information Technology
1667,advanced programming,Software Developer,"Computer Science, Software Engineering"
1668,deep learning,Data Scientist,Data Science
1669,cloud services,Systems Architect,Software Engineering
1670,software design patterns,DevOps Engineer,Software Engineering
1671,power systems,Communications Engineer,Electrical Engineering
1672,power systems,Control Systems Engineer,Electrical Engineering
1673,data warehousing,Systems Analyst,"Information Systems, Computer Science"
1674,health informatics,Clinical Informatics Specialist,Health Information Technology
1675,artificial intelligence,Software Developer,"Computer Science, Software Engineering"
1676,statistical methods,Machine Learning Engineer,Data Science
1677,quality assurance,Technical Director,Engineering Management
1678,data privacy,Clinical Informatics Specialist,Health Information Technology
1679,embedded systems design,Communications Engineer,Electrical Engineering
1680,computational theory,Systems Analyst,"Computer Science, Information Systems"
1681,cost control,Program Manager,Project Management
1682,advanced material science,HVAC Engineer,Mechanical Engineering
1683,Electronic health records,Health IT Project Manager,Health Information Technology
1684,Algorithm optimization,Systems Analyst,"Computer Science, Information Systems"
1685,cloud services,DevOps Engineer,Software Engineering
1686,signal processing,Electrical Design Engineer,Electrical Engineering
1687,network security,Systems Analyst,"Information Systems, Computer Science"
1688,automation technology,Robotics Engineer,Mechanical Engineering
1689,agile and traditional project methodologies,Operations Manager,"Engineering Management, Project Management"
1690,cost control,Program Manager,Project Management
1691,leadership in technology projects,Technical Director,Engineering Management
1692,leadership in technology projects,Operations Manager,"Engineering Management, Project Management"
1693,agile and traditional project methodologies,Program Manager,Project Management
1694,power systems,Electrical Design Engineer,Electrical Engineering
1695,artificial intelligence,Research Scientist,Computer Science
1696,statistical methods,Data Scientist,Data Science
1697,digital forensics,Network Security Engineer,Cybersecurity
1698,compliance and policy,Network Security Engineer,Cybersecurity
1699,Project lifecycle management,Program Manager,Project Management
1700,enterprise resource planning,IT Consultant,Information Systems
1701,data privacy,Clinical Informatics Specialist,Health Information Technology
1702,Mechanical systems design,Robotics Engineer,Mechanical Engineering
1703,big data technologies,Business Intelligence Analyst,Data Science
1704,Process optimization,Technical Director,Engineering Management
1705,compliance and policy,Security Analyst,Cybersecurity
1706,automation technology,Mechanical Design Engineer,Mechanical Engineering
1707,power systems,Communications Engineer,Electrical Engineering
1708,Electronic health records,Health IT Project Manager,Health Information Technology
1709,embedded systems design,Electrical Design Engineer,Electrical Engineering
1710,fluid mechanics,HVAC Engineer,Mechanical Engineering
1711,network security,Systems Analyst,"Information Systems, Computer Science"
1712,network security,Database Administrator,Information Systems
1713,Process optimization,Engineering Project Manager,Engineering Management
1714,System integration,Database Administrator,Information Systems
1715,statistical methods,Business Intelligence Analyst,Data Science
1716,software design patterns,DevOps Engineer,Software Engineering
1717,stakeholder engagement,Program Manager,Project Management
1718,data privacy,Health Data Analyst,Health Information Technology
1719,Intrusion detection,Network Security Engineer,Cybersecurity
1720,computational theory,Systems Analyst,"Computer Science, Information Systems"
1721,secure software development,Chief Information Security Officer,Cybersecurity
1722,Electronic health records,Health IT Project Manager,Health Information Technology
1723,Full-stack development,Systems Architect,Software Engineering
1724,deep learning,Data Scientist,Data Science
1725,continuous integration and deployment,Systems Architect,Software Engineering
1726,enterprise resource planning,IT Consultant,Information Systems
1727,System integration,Systems Analyst,"Information Systems, Computer Science"
1728,statistical methods,Machine Learning Engineer,Data Science
1729,Microelectronics,Electrical Design Engineer,Electrical Engineering
1730,continuous integration and deployment,DevOps Engineer,Software Engineering
1731,automation technology,Mechanical Design Engineer,Mechanical Engineering
1732,cost control,Operations Manager,"Engineering Management, Project Management"
1733,automation technology,HVAC Engineer,Mechanical Engineering
1734,fluid mechanics,Robotics Engineer,Mechanical Engineering
1735,Intrusion detection,Network Security Engineer,Cybersecurity
1736,stakeholder engagement,Operations Manager,"Engineering Management, Project Management"
1737,strategic planning,Technical Director,Engineering Management
1738,software design patterns,Systems Architect,Software Engineering
1739,agile and traditional project methodologies,Program Manager,Project Management
1740,Microelectronics,Communications Engineer,Electrical Engineering
1741,Full-stack development,Systems Architect,Software Engineering
1742,deep learning,Data Scientist,Data Science
1743,Full-stack development,Systems Architect,Software Engineering
1744,Electronic health records,Health IT Project Manager,Health Information Technology
1745,automation technology,Mechanical Design Engineer,Mechanical Engineering
1746,continuous integration and deployment,Systems Architect,Software Engineering
1747,deep learning,Data Scientist,Data Science
1748,deep learning,Data Scientist,Data Science
1749,computational theory,Research Scientist,Computer Science
1750,statistical methods,Data Scientist,Data Science
1751,signal processing,Control Systems Engineer,Electrical Engineering
1752,statistical methods,Data Scientist,Data Science
1753,Microelectronics,Electrical Design Engineer,Electrical Engineering
1754,Project lifecycle management,Operations Manager,"Engineering Management, Project Management"
1755,leadership in technology projects,Technical Director,Engineering Management
1756,health informatics,Health IT Project Manager,Health Information Technology
1757,health informatics,Clinical Informatics Specialist,Health Information Technology
1758,advanced programming,Research Scientist,Computer Science
1759,Process optimization,Engineering Project Manager,Engineering Management
1760,statistical methods,Data Scientist,Data Science
1761,software design patterns,DevOps Engineer,Software Engineering
1762,network security,Systems Analyst,"Information Systems, Computer Science"
1763,Microelectronics,Communications Engineer,Electrical Engineering
1764,advanced programming,Systems Analyst,"Computer Science, Information Systems"
1765,deep learning,Machine Learning Engineer,Data Science
1766,Process optimization,Technical Director,Engineering Management
1767,embedded systems design,Electrical Design Engineer,Electrical Engineering
1768,data privacy,Health Data Analyst,Health Information Technology
1769,power systems,Communications Engineer,Electrical Engineering
1770,Microelectronics,Control Systems Engineer,Electrical Engineering
1771,continuous integration and deployment,Software Developer,"Software Engineering, Computer Science"
1772,statistical methods,Machine Learning Engineer,Data Science
1773,statistical methods,Data Scientist,Data Science
1774,software design patterns,Systems Architect,Software Engineering
1775,cost control,Project Manager,Project Management
1776,deep learning,Business Intelligence Analyst,Data Science
1777,big data technologies,Machine Learning Engineer,Data Science
1778,strategic planning,Technical Director,Engineering Management
1779,healthcare applications development,Clinical Informatics Specialist,Health Information Technology
1780,power systems,Communications Engineer,Electrical Engineering
1781,leadership in technology projects,Operations Manager,"Engineering Management, Project Management"
1782,statistical methods,Machine Learning Engineer,Data Science
1783,computational theory,Systems Analyst,"Computer Science, Information Systems"
1784,Predictive analytics,Business Intelligence Analyst,Data Science
1785,Project lifecycle management,Operations Manager,"Engineering Management, Project Management"
1786,network security,IT Consultant,Information Systems
1787,digital forensics,Network Security Engineer,Cybersecurity
1788,automation technology,Mechanical Design Engineer,Mechanical Engineering
1789,network security,Database Administrator,Information Systems
1790,Project lifecycle management,Program Manager,Project Management
1791,digital forensics,Chief Information Security Officer,Cybersecurity
1792,healthcare applications development,Clinical Informatics Specialist,Health Information Technology
1793,Algorithm optimization,Software Developer,"Computer Science, Software Engineering"
1794,compliance and policy,Network Security Engineer,Cybersecurity
1795,health informatics,Clinical Informatics Specialist,Health Information Technology
1796,artificial intelligence,Software Developer,"Computer Science, Software Engineering"
1797,System integration,Database Administrator,Information Systems
1798,Microelectronics,Control Systems Engineer,Electrical Engineering
1799,software design patterns,Systems Architect,Software Engineering
1800,Algorithm optimization,Systems Analyst,"Computer Science, Information Systems"
1801,Full-stack development,Software Developer,"Software Engineering, Computer Science"
1802,digital forensics,Network Security Engineer,Cybersecurity
1803,automation technology,Mechanical Design Engineer,Mechanical Engineering
1804,cloud services,Systems Architect,Software Engineering
1805,advanced programming,Systems Analyst,"Computer Science, Information Systems"
1806,compliance and policy,Chief Information Security Officer,Cybersecurity
1807,leadership in technology projects,Engineering Project Manager,Engineering Management
1808,Process optimization,Engineering Project Manager,Engineering Management
1809,secure software development,Security Analyst,Cybersecurity
1810,automation technology,Mechanical Design Engineer,Mechanical Engineering
1811,Predictive analytics,Machine Learning Engineer,Data Science
1812,healthcare applications development,Health IT Project Manager,Health Information Technology
1813,continuous integration and deployment,Systems Architect,Software Engineering
